"signup_id","issue_type","action","details","original_phone","clean_phone","original_city","clean_city","original_channel","clean_channel","created_at","name"
"S001","字段清洗/异常","保留并修正","手机号标准化：138 0013 8000 -> 13800138000；城市标准化：上海市 -> 上海；渠道标准化：wechat -> 公众号","138 0013 8000","13800138000","上海市","上海","wechat","公众号","2026-06-01 09:12","李敏"
"S003","字段清洗/异常","保留并修正","城市标准化：深圳市 -> 深圳；渠道标准化：朋友介绍 -> 朋友推荐","13700137000","13700137000","深圳市","深圳","朋友介绍","朋友推荐","2026-06-01 10:42","赵楠"
"S004","测试记录","剔除","name 或 note 包含 test/测试","13000000000","13000000000","上海","上海","门店","门店","2026-06-01 11:08","测试用户"
"S005","字段清洗/异常","保留并修正","手机号标准化：136-0013-6000 -> 13600136000；渠道标准化：douyin -> 抖音","136-0013-6000","13600136000","广州","广州","douyin","抖音","2026-06-01 12:20","陈晨"
"S007","字段清洗/异常","保留并修正","城市标准化：杭州市 -> 杭州；渠道标准化：公号 -> 公众号","13500135000","13500135000","杭州市","杭州","公号","公众号","2026-06-01 13:22","周雨"
"S008","字段清洗/异常","保留并修正","渠道标准化：到店 -> 门店","13400134000","13400134000","成都","成都","到店","门店","2026-06-01 14:06","孙琪"
"S009","字段清洗/异常","标记异常待剔除","手机号异常：清洗后为 10 位；渠道标准化：xhs -> 小红书","1330013300","1330013300","北京","北京","xhs","小红书","2026-06-01 14:25","吴越"
"S010","字段清洗/异常","保留并修正","渠道标准化：老带新 -> 朋友推荐","13200132000","13200132000","广州","广州","老带新","朋友推荐","2026-06-01 15:02","郑雪"
"S012","字段清洗/异常","标记异常待剔除","城市不在允许列表：苏州；渠道标准化：微信 -> 公众号","13100131000","13100131000","苏州","苏州","微信","公众号","2026-06-01 15:48","何川"
"S001","同手机号重复报名","剔除","同手机号保留最新记录 S006（2026-06-01 13:01）","13800138000","13800138000","上海","上海","公众号","公众号","2026-06-01 09:12","李敏"
"S002","同手机号重复报名","剔除","同手机号保留最新记录 S011（2026-06-01 15:20）","13900139000","13900139000","北京","北京","小红书","小红书","2026-06-01 10:05","王强"
